t 211Pb 211Bi 207Tl 207Pb
55.1 33 3 17 47
55.2 33 3 17 47
55.3 33 3 16 48
55.4 33 3 15 49
55.5 33 3 14 50
55.6 33 3 14 50
55.7 33 3 14 50
55.8 33 3 14 50
55.9 33 3 14 50
56.0 33 3 14 50
56.1 33 3 14 50
56.2 33 3 14 50
56.3 33 2 15 50
56.4 33 2 15 50
56.5 33 2 15 50
56.6 33 2 15 50
56.7 33 2 15 50
56.8 33 2 15 50
56.9 33 2 15 50
57.0 32 3 15 50
57.1 32 3 15 50
57.2 32 3 15 50
57.3 32 3 15 50
57.4 32 3 14 51
57.5 32 3 14 51
57.6 32 3 14 51
57.7 32 3 14 51
57.8 32 3 14 51
57.9 32 3 14 51
58.0 32 3 14 51
58.1 32 3 14 51
58.2 32 3 14 51
58.3 32 3 14 51
58.4 32 3 14 51
58.5 32 3 14 51
58.6 32 3 14 51
58.7 32 3 14 51
58.8 32 3 14 51
58.9 32 3 14 51
59.0 32 3 14 51
59.1 32 3 14 51
59.2 32 3 14 51
59.3 32 3 14 51
59.4 32 3 14 51
59.5 32 2 15 51
59.6 31 3 15 51
59.7 31 2 16 51
59.8 31 2 16 51
59.9 31 2 16 51
60.0 31 2 16 51
60.1 31 2 15 52
60.2 31 2 15 52
60.3 31 2 15 52
60.4 31 2 14 53
60.5 31 2 14 53
60.6 31 2 14 53
60.7 31 2 13 54
60.8 31 2 13 54
60.9 31 2 13 54
61.0 31 2 13 54
61.1 31 2 13 54
61.2 31 2 13 54
61.3 30 3 13 54
61.4 30 3 13 54
61.5 30 3 13 54
61.6 30 3 12 55
61.7 30 3 12 55
61.8 30 3 12 55
61.9 30 3 12 55
62.0 30 3 12 55
62.1 29 4 12 55
62.2 29 4 12 55
62.3 29 4 12 55
62.4 29 4 12 55
62.5 29 4 11 56
62.6 29 4 11 56
62.7 29 4 11 56
62.8 29 4 10 57
62.9 29 4 10 57
63.0 29 2 12 57
63.1 29 2 12 57
63.2 29 2 12 57
63.3 29 2 12 57
63.4 29 2 12 57
63.5 29 2 11 58
63.6 29 2 10 59
63.7 28 3 10 59
63.8 28 3 10 59
63.9 28 3 10 59
64.0 28 3 10 59
64.1 28 3 10 59
64.2 28 3 10 59
64.3 28 3 10 59
64.4 28 3 10 59
64.5 28 3 10 59
