t 211Pb 211Bi 207Tl 207Pb
23.3 53 9 12 26
23.3 53 9 12 26
23.3 53 9 12 26
23.4 53 9 12 26
23.4 53 9 12 26
23.4 53 9 12 26
23.4 53 9 12 26
23.5 53 9 12 26
23.5 53 9 12 26
23.5 53 9 12 26
23.5 53 9 12 26
23.6 53 8 13 26
23.6 53 8 13 26
23.6 53 8 13 26
23.6 53 8 13 26
23.7 53 8 13 26
23.7 53 8 13 26
23.7 53 8 13 26
23.7 53 8 13 26
23.8 53 8 13 26
23.8 53 8 13 26
23.8 53 8 13 26
23.8 53 8 13 26
23.9 53 8 13 26
23.9 53 8 13 26
23.9 53 8 13 26
23.9 53 8 13 26
24.0 53 8 13 26
24.0 53 8 13 26
24.0 53 8 13 26
24.0 53 8 13 26
24.1 53 8 13 26
24.1 53 8 13 26
24.1 53 8 13 26
24.1 53 8 13 26
24.2 53 8 13 26
24.2 53 8 13 26
24.2 53 8 13 26
24.2 53 8 13 26
24.3 53 8 13 26
24.3 53 8 13 26
24.3 53 8 13 26
24.3 53 8 13 26
24.4 53 8 13 26
24.4 53 8 13 26
24.4 53 8 13 26
24.4 53 8 13 26
24.5 53 8 13 26
24.5 53 8 13 26
24.5 53 8 13 26
24.5 53 8 13 26
24.6 53 8 12 27
24.6 53 8 12 27
24.6 53 8 12 27
24.6 53 8 12 27
24.7 53 8 12 27
24.7 53 8 12 27
24.7 53 8 12 27
24.7 53 8 12 27
24.8 53 8 12 27
24.8 53 8 12 27
24.8 53 8 12 27
24.8 53 8 12 27
24.9 53 8 12 27
24.9 53 8 12 27
24.9 53 8 12 27
24.9 53 8 12 27
25.0 53 7 13 27
25.0 53 7 13 27
25.0 53 7 13 27
25.0 53 7 13 27
25.1 53 7 13 27
25.1 53 7 13 27
25.1 53 7 13 27
25.1 53 7 13 27
25.2 53 7 13 27
25.2 53 7 13 27
25.2 53 7 13 27
25.2 53 7 13 27
25.3 53 6 14 27
25.3 53 6 14 27
25.3 53 6 14 27
25.3 53 6 14 27
25.4 53 6 14 27
25.4 53 5 15 27
25.4 53 5 15 27
25.4 53 5 15 27
25.5 53 5 15 27
25.5 53 5 15 27
25.5 53 5 14 28
25.5 53 5 14 28
25.6 53 5 14 28
25.6 53 5 14 28
25.6 53 5 14 28
25.6 53 5 14 28
25.7 53 5 13 29
25.7 53 5 13 29
25.7 53 5 13 29
25.7 53 5 13 29
25.8 53 5 13 29
25.8 53 5 13 29
25.8 53 5 13 29
25.8 53 5 13 29
25.9 53 5 13 29
25.9 53 5 13 29
25.9 53 5 13 29
25.9 53 5 13 29
26.0 53 5 13 29
26.0 53 4 14 29
26.0 53 4 13 30
26.0 53 4 13 30
26.1 53 4 13 30
26.1 53 4 13 30
26.1 53 4 13 30
26.1 53 4 13 30
26.2 53 4 13 30
26.2 53 4 13 30
26.2 53 4 13 30
26.2 53 4 13 30
26.3 53 4 13 30
26.3 53 4 13 30
